iter	Passed	Remaining
0	150	150002
1	162	80915
2	172	57195
3	182	45492
4	193	38526
5	231	38305
6	244	34691
7	291	36166
8	309	34074
9	323	31978
10	354	31849
11	401	33065
12	432	32830
13	446	31477
14	461	30334
15	479	29507
16	508	29382
17	522	28478
18	535	27673
19	553	27139
20	574	26792
21	593	26395
22	618	26261
23	639	25998
24	685	26748
25	713	26745
26	729	26278
27	742	25764
28	758	25397
29	772	24975
30	786	24570
31	818	24766
32	841	24672
33	874	24835
34	899	24812
35	911	24413
36	927	24146
37	965	24449
38	987	24333
39	1005	24134
40	1029	24081
41	1045	23846
42	1075	23936
43	1085	23577
44	1097	23280
45	1112	23068
46	1123	22785
47	1141	22643
48	1164	22594
49	1183	22478
50	1201	22353
51	1224	22315
52	1241	22179
53	1261	22102
54	1283	22046
55	1298	21881
56	1310	21683
57	1319	21431
58	1333	21264
59	1348	21119
60	1378	21223
61	1408	21307
62	1443	21473
63	1466	21451
64	1480	21297
65	1497	21193
66	1517	21131
67	1531	20989
68	1549	20904
69	1585	21067
70	1663	21770
71	1674	21580
72	1690	21464
73	1708	21384
74	1722	21238
75	1750	21284
76	1772	21248
77	1828	21609
78	1839	21443
79	1857	21358
80	1872	21245
81	1890	21158
82	1905	21047
83	1919	20931
84	1928	20757
85	1951	20735
86	1961	20586
87	1973	20447
88	2007	20550
89	2021	20443
90	2048	20466
91	2062	20359
92	2075	20240
93	2096	20204
94	2105	20058
95	2120	19970
96	2134	19873
97	2150	19789
98	2161	19669
99	2174	19570
100	2182	19427
101	2198	19351
102	2215	19297
103	2228	19199
104	2241	19108
105	2252	18999
106	2261	18870
107	2275	18791
108	2289	18714
109	2302	18629
110	2316	18554
111	2330	18476
112	2350	18446
113	2363	18369
114	2374	18275
115	2389	18206
116	2410	18191
117	2446	18287
118	2484	18390
119	2510	18412
120	2531	18387
121	2542	18297
122	2555	18220
123	2567	18138
124	2580	18061
125	2591	17979
126	2610	17943
127	2621	17862
128	2634	17788
129	2644	17700
130	2655	17617
131	2663	17515
132	2677	17454
133	2690	17385
134	2699	17293
135	2719	17276
136	2742	17273
137	2795	17464
138	2826	17507
139	2846	17487
140	2870	17486
141	2888	17454
142	2899	17375
143	2912	17315
144	2920	17222
145	2930	17138
146	2943	17081
147	2956	17017
148	2963	16928
149	2975	16861
150	3005	16901
151	3037	16948
152	3049	16881
153	3062	16822
154	3074	16759
155	3085	16691
156	3097	16631
157	3106	16554
158	3113	16465
159	3123	16397
160	3133	16327
161	3143	16262
162	3157	16214
163	3166	16139
164	3176	16075
165	3191	16033
166	3199	15957
167	3207	15883
168	3220	15834
169	3229	15769
170	3237	15693
171	3247	15633
172	3254	15555
173	3263	15491
174	3270	15416
175	3278	15351
176	3285	15276
177	3294	15215
178	3301	15142
179	3310	15081
180	3317	15010
181	3326	14950
182	3332	14879
183	3342	14822
184	3353	14772
185	3359	14701
186	3366	14638
187	3374	14574
188	3382	14514
189	3389	14450
190	3397	14391
191	3404	14328
192	3412	14268
193	3419	14207
194	3426	14147
195	3434	14088
196	3440	14024
197	3449	13971
198	3458	13919
199	3464	13857
200	3472	13804
201	3483	13759
202	3492	13712
203	3498	13650
204	3508	13604
205	3514	13544
206	3523	13499
207	3529	13439
208	3539	13396
209	3545	13338
210	3555	13296
211	3566	13256
212	3572	13198
213	3580	13150
214	3586	13095
215	3593	13042
216	3599	12989
217	3609	12949
218	3617	12901
219	3625	12853
220	3632	12802
221	3640	12757
222	3646	12705
223	3656	12666
224	3663	12619
225	3671	12572
226	3678	12525
227	3686	12480
228	3693	12434
229	3700	12390
230	3707	12342
231	3713	12293
232	3720	12248
233	3726	12200
234	3736	12162
235	3745	12124
236	3750	12075
237	3758	12033
238	3765	11988
239	3773	11949
240	3779	11903
241	3788	11865
242	3793	11818
243	3801	11779
244	3808	11734
245	3813	11689
246	3822	11654
247	3829	11613
248	3837	11574
249	3852	11558
250	3863	11527
251	3871	11492
252	3880	11458
253	3886	11414
254	3895	11380
255	3901	11339
256	3910	11305
257	3916	11263
258	3925	11230
259	3932	11192
260	3941	11159
261	3948	11121
262	3957	11091
263	3964	11052
264	3975	11027
265	3983	10993
266	3993	10962
267	4002	10931
268	4008	10893
269	4017	10863
270	4023	10823
271	4032	10793
272	4039	10757
273	4048	10728
274	4056	10694
275	4068	10672
276	4080	10651
277	4093	10630
278	4104	10607
279	4116	10584
280	4123	10551
281	4136	10530
282	4145	10503
283	4160	10488
284	4173	10470
285	4185	10449
286	4195	10423
287	4207	10401
288	4216	10373
289	4225	10344
290	4236	10322
291	4243	10288
292	4253	10262
293	4264	10239
294	4269	10203
295	4279	10178
296	4285	10143
297	4295	10118
298	4301	10084
299	4310	10058
300	4317	10025
301	4326	10000
302	4332	9966
303	4342	9942
304	4348	9909
305	4361	9891
306	4369	9864
307	4377	9834
308	4388	9814
309	4396	9784
310	4406	9761
311	4416	9737
312	4424	9711
313	4434	9687
314	4441	9659
315	4453	9640
316	4460	9611
317	4471	9590
318	4483	9571
319	4489	9539
320	4499	9516
321	4504	9485
322	4514	9462
323	4524	9440
324	4532	9412
325	4579	9467
326	4591	9448
327	4611	9447
328	4621	9424
329	4649	9440
330	4657	9414
331	4665	9387
332	4676	9367
333	4684	9341
334	4694	9318
335	4702	9292
336	4711	9268
337	4719	9243
338	4725	9214
339	4734	9189
340	4740	9161
341	4751	9141
342	4758	9115
343	4767	9091
344	4777	9070
345	4785	9045
346	4797	9029
347	4806	9004
348	4814	8980
349	4821	8954
350	4829	8930
351	4837	8905
352	4847	8884
353	4855	8860
354	4862	8834
355	4872	8814
356	4884	8797
357	4894	8776
358	4904	8757
359	4911	8731
360	4919	8708
361	4927	8684
362	4936	8662
363	4944	8638
364	4953	8616
365	4960	8592
366	4967	8568
367	4975	8545
368	4983	8522
369	4992	8499
370	4999	8476
371	5013	8463
372	5027	8450
373	5033	8425
374	5041	8402
375	5047	8376
376	5055	8354
377	5061	8329
378	5070	8308
379	5079	8288
380	5088	8267
381	5098	8248
382	5105	8225
383	5114	8204
384	5122	8182
385	5130	8161
386	5140	8142
387	5152	8126
388	5162	8108
389	5173	8091
390	5183	8073
391	5191	8052
392	5199	8030
393	5207	8009
394	5216	7989
395	5224	7969
396	5233	7948
397	5241	7927
398	5249	7906
399	5256	7884
400	5263	7863
401	5273	7843
402	5280	7822
403	5286	7798
404	5293	7777
405	5299	7754
406	5310	7736
407	5316	7713
408	5325	7694
409	5331	7671
410	5339	7652
411	5345	7629
412	5354	7611
413	5360	7587
414	5368	7567
415	5376	7548
416	5385	7529
417	5393	7509
418	5405	7495
419	5419	7483
420	5427	7464
421	5435	7444
422	5444	7426
423	5451	7405
424	5459	7386
425	5466	7365
426	5475	7347
427	5482	7326
428	5491	7309
429	5498	7288
430	5509	7273
431	5515	7252
432	5524	7234
433	5534	7217
434	5542	7199
435	5549	7179
436	5557	7159
437	5564	7140
438	5571	7119
439	5580	7102
440	5587	7082
441	5596	7065
442	5602	7044
443	5611	7026
444	5617	7005
445	5625	6987
446	5634	6970
447	5643	6954
448	5651	6935
449	5662	6920
450	5672	6905
451	5678	6884
452	5687	6867
453	5693	6847
454	5703	6831
455	5710	6812
456	5718	6794
457	5725	6775
458	5734	6759
459	5741	6740
460	5749	6722
461	5756	6703
462	5764	6686
463	5770	6666
464	5778	6648
465	5787	6631
466	5795	6615
467	5802	6595
468	5810	6578
469	5817	6559
470	5825	6543
471	5832	6524
472	5841	6508
473	5847	6488
474	5855	6471
475	5861	6452
476	5870	6436
477	5876	6417
478	5884	6400
479	5891	6382
480	5901	6367
481	5907	6349
482	5918	6335
483	5924	6316
484	5933	6300
485	5939	6281
486	5947	6265
487	5955	6248
488	5962	6230
489	5969	6213
490	5977	6196
491	5984	6179
492	5993	6163
493	6000	6146
494	6009	6131
495	6019	6117
496	6026	6098
497	6034	6083
498	6043	6067
499	6054	6054
500	6062	6038
501	6070	6022
502	6078	6005
503	6086	5990
504	6097	5976
505	6109	5964
506	6120	5951
507	6135	5941
508	6147	5929
509	6156	5914
510	6165	5899
511	6185	5895
512	6195	5881
513	6203	5865
514	6213	5851
515	6227	5841
516	6239	5828
517	6247	5813
518	6256	5798
519	6265	5783
520	6275	5769
521	6285	5755
522	6291	5738
523	6300	5723
524	6312	5711
525	6320	5695
526	6327	5678
527	6335	5663
528	6341	5646
529	6350	5631
530	6357	5614
531	6367	5601
532	6382	5592
533	6393	5579
534	6399	5561
535	6408	5547
536	6414	5530
537	6496	5578
538	6510	5568
539	6519	5553
540	6526	5537
541	6552	5537
542	6561	5522
543	6571	5508
544	6584	5496
545	6590	5480
546	6598	5464
547	6603	5447
548	6613	5432
549	6619	5416
550	6630	5402
551	6636	5386
552	6644	5370
553	6650	5354
554	6660	5340
555	6666	5323
556	6676	5310
557	6683	5294
558	6692	5279
559	6700	5264
560	6707	5248
561	6715	5233
562	6722	5217
563	6730	5202
564	6736	5186
565	6746	5172
566	6754	5157
567	6761	5142
568	6767	5126
569	6775	5111
570	6782	5095
571	6789	5080
572	6796	5065
573	6804	5050
574	6811	5034
575	6818	5019
576	6829	5006
577	6836	4991
578	6843	4975
579	6851	4961
580	6858	4946
581	6866	4931
582	6873	4916
583	6881	4901
584	6887	4885
585	6897	4873
586	6903	4857
587	6912	4843
588	6918	4827
589	6927	4814
590	6934	4798
591	6941	4784
592	6947	4768
593	6956	4754
594	6963	4740
595	6972	4726
596	6980	4711
597	6988	4697
598	6994	4682
599	7004	4669
600	7015	4657
601	7022	4642
602	7033	4630
603	7042	4617
604	7051	4603
605	7062	4591
606	7070	4577
607	7080	4565
608	7090	4552
609	7099	4539
610	7106	4524
611	7115	4510
612	7123	4497
613	7130	4482
614	7138	4468
615	7146	4455
616	7156	4442
617	7162	4427
618	7172	4414
619	7178	4399
620	7186	4385
621	7192	4371
622	7201	4358
623	7207	4343
624	7219	4331
625	7225	4316
626	7234	4303
627	7240	4288
628	7248	4275
629	7255	4261
630	7265	4248
631	7271	4233
632	7278	4220
633	7285	4205
634	7293	4192
635	7299	4177
636	7307	4164
637	7314	4150
638	7320	4135
639	7328	4122
640	7336	4109
641	7344	4095
642	7353	4082
643	7361	4069
644	7370	4056
645	7376	4042
646	7385	4029
647	7392	4015
648	7401	4002
649	7406	3988
650	7416	3975
651	7422	3961
652	7433	3949
653	7439	3935
654	7447	3922
655	7454	3909
656	7462	3896
657	7470	3882
658	7478	3869
659	7490	3858
660	7499	3846
661	7505	3832
662	7514	3819
663	7521	3805
664	7528	3792
665	7536	3779
666	7544	3766
667	7551	3752
668	7557	3739
669	7565	3726
670	7572	3712
671	7580	3700
672	7586	3686
673	7595	3674
674	7605	3661
675	7612	3648
676	7619	3635
677	7627	3622
678	7635	3609
679	7644	3597
680	7652	3584
681	7659	3571
682	7667	3558
683	7675	3545
684	7682	3532
685	7689	3519
686	7696	3506
687	7705	3494
688	7714	3482
689	7723	3470
690	7736	3459
691	7743	3446
692	7750	3433
693	7757	3420
694	7764	3407
695	7770	3394
696	7779	3382
697	7787	3369
698	7795	3356
699	7803	3344
700	7813	3332
701	7822	3320
702	7833	3309
703	7842	3297
704	7850	3284
705	7859	3272
706	7869	3261
707	7880	3250
708	7889	3238
709	7898	3226
710	7908	3214
711	7917	3202
712	7924	3189
713	7933	3177
714	7939	3164
715	7948	3152
716	7955	3139
717	7964	3128
718	7971	3115
719	7979	3103
720	7988	3091
721	7997	3079
722	8012	3069
723	8022	3058
724	8028	3045
725	8039	3034
726	8045	3021
727	8054	3009
728	8061	2996
729	8069	2984
730	8078	2972
731	8087	2960
732	8095	2948
733	8103	2936
734	8112	2924
735	8119	2912
736	8128	2900
737	8135	2888
738	8147	2877
739	8155	2865
740	8164	2853
741	8177	2843
742	8193	2833
743	8207	2824
744	8218	2813
745	8231	2802
746	8244	2792
747	8259	2782
748	8270	2771
749	8281	2760
750	8298	2751
751	8310	2740
752	8331	2733
753	8344	2722
754	8386	2721
755	8396	2709
756	8410	2699
757	8422	2689
758	8431	2677
759	8443	2666
760	8454	2655
761	8463	2643
762	8470	2631
763	8480	2619
764	8486	2607
765	8495	2595
766	8501	2582
767	8511	2571
768	8518	2558
769	8527	2547
770	8533	2534
771	8543	2523
772	8551	2511
773	8559	2499
774	8565	2486
775	8571	2474
776	8578	2462
777	8584	2449
778	8591	2437
779	8600	2425
780	8606	2413
781	8616	2402
782	8623	2389
783	8632	2378
784	8641	2366
785	8649	2354
786	8659	2343
787	8665	2331
788	8673	2319
789	8679	2307
790	8688	2295
791	8694	2283
792	8703	2271
793	8709	2259
794	8718	2248
795	8726	2236
796	8735	2224
797	8742	2212
798	8751	2201
799	8757	2189
800	8767	2178
801	8779	2167
802	8786	2155
803	8794	2143
804	8801	2132
805	8810	2120
806	8817	2108
807	8826	2097
808	8833	2085
809	8842	2074
810	8848	2062
